UNITID,OPEID,opeid6,INSTNM,CITY,STABBR,INSTURL,NPCURL,LOCALE
123800,129400,1294,Southwestern College,Chula Vista,CA,www.swccd.edu/,testsite.cccco.edu/npc/091/npcalc.htm,21
123916,408000,4080,Starr King School for Ministry,Berkeley,CA,www.sksm.edu,NULL,12
123943,123000,1230,Marshall B Ketchum University,Fullerton,CA,www.ketchum.edu,www.ketchum.edu,21
123952,2075800,20758,Southern California Institute of Architecture,Los Angeles,CA,www.sciarc.edu,www.sciarc.edu,11
123961,132800,1328,University of Southern California,Los Angeles,CA,www.usc.edu/,www.usc.edu/admission/fa/applying_receiving/undergraduates1/netpricecalculator.html,11
123970,129500,1295,Southwestern Law School,Los Angeles,CA,www.swlaw.edu,swlaw.edu,11
124113,130900,1309,Taft College,Taft,CA,www.taftcollege.edu,webprod.cccco.edu/npc/691/npcalc.htm,32
124283,128800,1288,Claremont School of Theology,Claremont,CA,www.cst.edu,www.cst.edu,21
124292,2358000,23580,Thomas Aquinas College,Santa Paula,CA,www.thomasaquinas.edu,thomasaquinas.edu/admission/net-price-calculator-financial-aid-calculator,42
124344,2054900,20549,Marinello Schools of Beauty-Lake Forest,Lake Forest,CA,www.marinello.com,www.marinello.com,21
12434401,2054902,20549,Marinello School of Beauty,Bakersfield,CA,http://www.marinello.com,NULL,NULL
12434402,2054903,20549,Marinello Schools of Beauty-Visalia,Visalia,CA,http://www.marinello.com,NULL,NULL
124487,3403300,34033,Epic Bible College,Sacramento,CA,EPIC.edu,epic.edu/financial/netpricecalculator/,21
124681,2559300,25593,United Education Institute-Huntington Park Campus,Huntington Park,CA,www.uei.edu/,uei.studentaidcalculator.com/welcome.aspx,21
12468104,2559304,25593,UEI College,Ontario,CA,http://www.ueicareers.com,NULL,NULL
12468105,2559305,25593,UEI College,Encino,CA,http://www.ueicareers.com,NULL,NULL
12468106,2559309,25593,UEI College,Chula Vista,CA,http://www.ueicareers.com,NULL,NULL
12468107,2559310,25593,UEI College,El Monte,CA,http://www.ueicareers.com,NULL,NULL
12468108,2559312,25593,UEI College,Anaheim,CA,http://www.ueicareers.com,NULL,NULL
12468109,2502700,25027,United Education Institute,Jacksonville,FL,http://www.uei.edu/,NULL,NULL
12468110,2559315,25593,UEI,Morrow,GA,NULL,NULL,NULL
12468111,2559317,25593,UEI College,San Marcos,CA,NULL,NULL,NULL
12468112,2559318,25593,UEI College,Stockton,CA,NULL,NULL,NULL
